"","ACH-000017","ACH-000019","ACH-000028","ACH-000044","ACH-000097","ACH-000111","ACH-000117","ACH-000147","ACH-000148","ACH-000196","ACH-000212","ACH-000223","ACH-000248","ACH-000258","ACH-000276","ACH-000277","ACH-000288","ACH-000330","ACH-000349","ACH-000352","ACH-000374","ACH-000536","ACH-000554","ACH-000568","ACH-000573","ACH-000621","ACH-000624","ACH-000642","ACH-000643","ACH-000668","ACH-000691","ACH-000699","ACH-000711","ACH-000721","ACH-000725","ACH-000755","ACH-000759","ACH-000768","ACH-000783","ACH-000818","ACH-000828","ACH-000849","ACH-000856","ACH-000857","ACH-000859","ACH-000876","ACH-000902","ACH-000910","ACH-000927","ACH-000930","ACH-000934","ACH-001388","ACH-001389","ACH-001390","ACH-001391","ACH-001392","ACH-001393","ACH-001394","ACH-001395","ACH-001396","ACH-001419","ACH-001662","ACH-001683","ACH-001705","ACH-001819","ACH-001820","ACH-002399","ACH-002401","ACH-002499","ACH-002921"
"HMGA2",3.01472063301751,-1.17730870217598,-2.38899705849983,-2.94422799437633,-0.931056729900379,-3.58195366491944,-1.81109448667579,-1.55285656030332,-1.58430941590985,0.386463212571575,4.57744234687474,0.852649319456155,2.88956011910927,-1.80162726909157,-2.3086082692977,0.555775144937652,2.37231032824577,-0.96030219210027,-4.64846260892906,-0.458320046314456,-0.572249839517976,2.27341485725898,1.30721956873985,-3.13547749277868,2.60177477689548,-3.62583273713365,0.499776390406396,0.324729095598578,-0.280013519733578,-0.576097787659973,0.674053057394262,-0.738305448532105,3.07022225714309,3.23264250308939,-1.65894381337248,0.660707590814289,-0.827966830090778,4.7868490259982,-3.18666699143049,-5.15758948953502,-0.96848132919788,1.29242147423606,-0.776545856217548,3.86576735894779,0.522170459151089,-3.37110314166055,-1.22679175894133,-0.0906887575599766,-1.55553113278708,-1.1660954103832,2.0076091619971,0.533984034231806,2.67261377374731,5.67331798525881,3.4382560743889,-0.479800273249313,-1.35590123890041,3.17278006159568,-1.19706534239771,0.10614406786286,4.61196885395823,-4.51504954316335,-1.31031061351868,6.64662291400833,-1.04489675024616,0.51647404641274,1.74110382062613,0.550058810674137,-2.81366000449758,-4.86684546855735
"TBX3",-0.248119183526136,1.66527856635152,1.12486349455696,-0.688657443934756,0.562074377694029,-0.503348987745028,-2.05623818730835,-1.88137497133393,-1.5952411437615,2.72724852857662,-1.48461395658045,0.434219289777535,0.832540798710306,0.473006340712774,-0.935692380458147,0.432913857440853,0.966830002415285,-1.16262100184826,-1.22161279733078,1.29122766231987,0.271273934050432,1.00880126290085,0.594215505171423,-0.26778903212744,3.05058878408054,-1.36404687861289,-0.842759680010109,0.898002477057182,-0.517047277825773,-1.1109435080719,1.00505032812658,3.37555886342321,0.990139337430599,3.36949139230969,-1.1025066797489,0.28719956321538,1.13899329350028,-0.319192403716655,-1.12203194019029,0.256290688952256,-1.16068713102381,-0.778487779479746,-5.18135200605112,0.368390013521944,1.06452521418123,-3.13573451694122,-1.05084555446451,-0.574396807868643,0.76972437929546,2.38465967445367,2.09160686265884,0.571892403680584,1.01242695038582,3.41199498188274,1.5148461757628,-0.937742723631176,-3.04712544654396,1.9824771610687,-1.4513507871532,-1.23443511103864,1.81266141696852,-1.8073437772804,-3.57077495925039,2.67199435361702,-1.30039455967845,0.956150691619043,-1.0564582848411,-0.0900898345103943,-2.92912861803854,-1.97803471880797
"PAX6",-0.953700035563588,-2.73431557131011,-2.90181797487105,-1.06042339245895,-4.08184422178167,2.03766901191882,-1.69768121940353,0.548061714559534,0.426436864607321,-0.218459028472128,0.126555452726589,1.37944715956214,-1.38203279874334,-1.74468028435897,2.08733230180063,-2.67970757702163,0.39328665825506,0.566912817555391,-2.23819701490431,-2.07904943190432,-0.923735927264356,-2.28676069917535,-2.62175514426405,-1.63819312217827,-0.790034577271088,-1.54640501762991,0.848454184471527,1.31001380536059,4.22902791326934,0.0406605870222873,0.0658530864862949,-2.36352560394525,0.954498978920464,-3.18706676850696,-1.94836775001658,1.0121797471037,-0.768047441373133,0.729413512762101,-1.41293404878807,0.0960725221866243,0.137781528494568,1.62438589237579,-0.350645483731209,1.99664144566903,-1.30591968759642,2.07874072575999,0.76312512684056,-1.34327305459204,-1.16894450475195,-2.4823715817207,-5.48671263557617,3.91674337467132,-0.835314913793861,-0.688702625134749,-1.93438639661433,1.19509043136036,1.72682989926101,0.315968738437111,2.54126020379722,-0.712032750196632,-0.193387961308842,1.50124690677179,2.47814801180397,1.2630243061945,-0.446643649503534,1.11527817928601,4.73702754610506,4.42406738244441,4.43905801742612,1.54324559963173
"NKX2-2",-3.18197654410514,-1.88851271930844,-4.59589576284954,-0.821905618672654,-4.243614775211,-0.351300011900835,-1.14990892575659,-2.55493060216492,9.0381742996211,-1.53623883807948,1.8459809620547,-0.846560076357941,-3.59048062731721,-1.02860072485468,2.54618285393887,-1.32471159831211,4.05321181794972,-1.17677736247029,0.27334095263511,-1.24721074942479,2.52791500117061,1.3818299882616,-2.37992046165558,-3.54469998777902,0.696763686505749,2.1110159027263,-2.62766326288362,2.67489486705751,-1.87494438193906,0.495560154314692,-3.65730850062086,4.33357897226704,0.517921688535123,0.973320682595354,-5.16351228588609,-3.65902587356983,-2.72266296966498,2.01329043294866,-0.808114027043413,-1.13530975715954,-1.02232717203499,0.789525029595812,1.79407198638373,-0.418462356097847,-0.503083189368268,-1.15617106392625,-3.85968933064456,-3.36530326749405,-1.90389560416891,0.62794411684392,-1.83583695175264,1.34479163743778,4.49056809551041,-0.176829175322472,2.72674232372147,-0.919377975972078,-0.282769789589578,2.92779077932657,1.15053616003605,-1.42463984141573,-1.78119651091883,-2.7845048287069,-0.297941853381947,1.58735072779607,2.21402743313375,2.8306586610791,3.1046567008934,1.99687963501323,2.81503615153516,0.235229593714161
"FOSL1",2.30281874467283,0.338282735979861,0.259082718144111,-1.15182939755702,-1.75817421871676,-0.405075844079776,-0.0796260285206717,-0.841690855484944,1.63905026359783,1.15731632845137,3.29602573687523,0.141434576185846,2.7326717278602,1.06350865753324,-0.81453313724987,-0.971589860783023,3.02618242511584,-2.05635110390409,-0.321209631326139,2.46968924257137,2.09489593616267,2.35509831294317,-0.975959513998724,-4.64677492957927,5.03713572135305,-0.166866859279094,-0.873126624648903,-0.602272882968926,-5.70909476883183,0.0814061215026016,-0.271341442047924,2.14443227478867,1.11104943782256,5.07973583774497,-2.11688793967095,-0.388653078086166,-3.96989805502385,7.1074494377692,1.01540753578532,-2.59960201606884,-2.01162525997863,1.20158332515719,-1.93596837535716,-0.0235232868502548,2.3851881861483,-2.00592939851892,-1.22019682378573,3.36142711399366,-1.75474983254311,-1.26541505927482,0.719281702061199,-4.9483709026621,5.04520303562526,1.31099000837797,4.25993548679712,-2.8791580948266,-2.10926312297895,1.59774781267749,-3.57048161298165,-0.736774423346029,0.828263608794633,-6.62126368517287,-2.52989715229945,1.56103899648754,0.622025543724564,0.871516144375716,2.00997260775441,-1.28464616367239,-1.57247785827022,-4.34100589630013
"NKX2-5",-1.11821405181336,-2.54342847345348,-1.07191769481842,1.09330851743934,0.186281666556361,2.10942171916429,-1.14019031630931,1.09351771070501,-0.473607313696255,-0.320151746073252,0.638840190437096,-2.74334180573499,-1.91610865437508,1.29533774062551,-0.402786207345034,2.27195138779095,1.3481852040042,1.14569887774895,2.68295749937147,0.353488703186742,-2.71181296424193,-1.11776632625664,0.117813911320576,0.250966970196619,1.11562166263525,2.49784263430496,0.979618804623197,-0.916699962394914,0.553431545918328,-2.16912257227972,-0.372740161435551,-1.41766477874903,0.0377510882161589,-0.418185064266194,0.0280767136161621,-0.044430773921548,2.85010759677128,-1.30495540246683,0.785535017508746,1.73385670573969,1.02262388246291,-1.80734519447868,2.85419246352962,-1.39095905623406,-1.84803369096318,-0.441587009856115,2.51761159290039,-2.06768184974101,0.725462372002507,-0.612107611473466,-0.0238679281747831,0.869891274376712,0.14592298074654,-2.90765260198528,0.603662334277813,-0.816714040740739,0.0172673398611505,-1.96852151026426,0.36251411825167,-0.35680310729243,-3.11295658304341,0.658101111116954,0.790206309587607,-1.82523357912045,0.346990326738941,0.827758999501044,0.0887314146600425,-0.0667777499971302,0.0597272046645437,1.62346960481975
"STAT6",4.06215208290899,1.54703517946213,2.68776042894141,1.52869971139066,2.86655469485184,-4.1527786066672,1.7418700317643,1.80918911228588,-4.58355044221469,0.421398753157545,1.44304058820858,-0.275161549647629,3.05994127331593,-1.13005273637194,-1.5470283423196,1.30867026278268,-3.1852572486002,2.38587538666406,0.284418309639555,1.22433836634441,-0.910935343396036,0.14166449575934,1.34974119469998,1.33367585737415,-2.20997347358372,-3.54179445654919,1.33523547393696,-0.560202338665264,-0.361286905674854,-1.24047846463458,0.392656191591143,-4.57249519916359,0.240908380831382,0.039364808550936,2.11438511252872,1.06118091470147,1.44179691780713,-0.861011164781818,0.696576638968727,1.92248041348976,0.795016478926525,-0.528597384230989,-2.27879223638693,0.0700841569716004,0.168366292458926,0.689290111118396,-0.0384567408260491,2.79814974945303,1.7960729217823,-3.06743548787071,3.43307888884316,-1.5767830634302,-2.57553212955712,0.762562114280021,-0.416885552685236,0.250608492511207,-1.62069357686547,-1.41577792606255,0.358492580060196,3.01580880381108,3.01970645456977,-0.496320419778025,0.127102974359997,2.49563010933511,1.65431952258535,-1.46115600643303,0.275209164898751,-0.363188090714542,-2.75161021626287,0.324832380432705
"PRRX1",-1.62355242878013,-1.19515431841061,-1.77240415527831,2.55882246657139,0.0444351901801121,-2.0737663063643,0.748131550033198,-0.468975346680914,4.81002685430673,-0.670615946814854,-0.314514826686817,-2.86141402931783,-1.44317581142467,1.27740348613176,0.619003388187477,0.65681116445777,1.69748588294555,-0.116685477682841,1.72266078824386,-0.52085876583066,-1.9026366403597,-4.43590806835995,-1.00210838844482,-1.35338339697817,2.0907162871279,1.48826689210216,0.0283481054615108,0.364452187249681,-2.05815962160645,-0.899108844099956,-2.13583844933937,1.10648316950506,-2.89519765935021,1.87366176951381,0.18018815171016,-1.5449014477835,0.3105876431867,-1.24749346903094,-0.1242426169191,1.9326093390187,1.25361899976087,-3.55520949769602,0.264866633351614,-0.679452518213239,-2.82125185333123,0.00548344141379582,-0.286590355497415,-2.09955432387523,-0.758769529762947,1.602574761359,-1.06777845055184,2.25236206205126,4.57433789289781,-0.840898032185603,1.26976177555721,-0.00383245168751111,0.338181092067312,1.11412679048009,0.811587387505756,-0.00281994339470691,-1.80820020881692,0.677740688634771,0.171195909619496,-1.37154364453131,1.7967166509476,0.266273063496157,0.372512862061471,-0.183739810029546,0.144606810240845,-0.635162156188657
"AHR",0.993632096907053,-0.0977632925390894,0.695117206558676,-0.315703557181289,0.360100590980196,-0.0105110670948847,-0.081687456695399,-1.12187604581313,1.73064131812844,-1.65228800470058,0.0168575831850333,-1.34299737796682,0.0601030564058984,0.212110340354599,-0.851414938297098,-1.12254337272336,2.9024392861969,-1.0915897693693,-0.118862886135826,-1.0068236921713,-0.433139313001655,1.80135645758722,0.783584773643143,-0.608272844420243,3.67187055648762,0.196535456051688,-0.689422968819509,-0.180277638652153,-1.58683906971933,0.902282726535833,-1.77999443663329,3.22099335530576,-1.08316069275904,1.04452750088432,1.24603635372771,0.305350181998016,0.662527560066773,0.658924510630664,2.23721007670474,0.309515139621558,0.832948412987816,-1.48945482146831,-2.23918908858277,-0.161395865777723,0.525899712890393,0.0105922197107149,-0.174658003983988,1.5937245677364,1.29427221180827,-0.099476893000149,2.07300795504889,-0.0224481631428274,1.63763851215942,-1.24590089467227,0.407033580792544,0.0287529128239044,-1.06242528736684,-0.877435356011345,-1.14838603601183,-1.13949943229709,0.420878006926545,-1.68146569316069,-0.480446823453718,0.960362267998377,-0.997299375803476,-1.97526142221067,-0.138620461618382,0.810278998379214,-3.07837547070638,-0.988294491943635
"EPAS1",-2.19594084109301,-0.255805994438417,-2.73882716100524,-2.07681605693901,-2.78692418994558,-1.09799032418281,-1.31270495635604,-0.0534708365784785,5.97545359636355,-1.18931662390231,0.931032465097186,0.126296712159344,-2.14306008653986,-2.15411583120761,1.88987797049952,-0.6785640637361,4.23152703040946,-1.99668963969767,-1.89167551572775,-0.45334672248912,0.79037204303041,0.613591798253166,-1.46233779851915,-1.03760368575863,2.60968532965867,4.10070648489865,-1.21096536326553,1.27923853630516,-1.22505746505696,1.51764469236402,-1.00377496198901,4.72105378690396,-0.475730221640474,1.10414292958814,-2.04814957169997,-4.19141006136719,-2.2230550923114,2.44849143152791,-0.914556868039565,-1.78480140992628,-1.66021520421519,-0.881746234124428,-0.211432140652681,-0.144306147242559,1.34041157428406,-0.55330789121382,-3.30554604464476,0.262774364373899,-2.26592695156011,2.07335515629765,-1.3685943283024,0.183523888429356,5.83312755374301,-0.826178470959441,3.89694700528868,-3.41842071881979,0.0164108199069486,2.10848418884197,0.399815132780647,-1.70779326825432,-0.63364870709085,-2.1327586460011,-1.51057709890611,0.379023025069953,-2.44878548951217,-1.80475356911418,0.854592928683397,2.18078027023124,3.15247645827309,1.03385888416746
"ZNF677",-1.5882575607301,-2.24300556018924,-2.51130828166214,-0.384407084489035,-1.41908495893839,2.35750272437028,-1.71230286523969,-2.18939720890993,2.18773657947813,0.659142900059194,0.0447678559767601,0.417957382027387,-1.97850148671618,-0.361398513544565,2.20742923745287,-0.650771993397025,0.679100080613258,-1.34595495476826,0.716000294417652,-1.86903226109219,1.58468265712633,0.736682198757863,-0.756292680882132,-2.43015681001425,-0.36968085911743,0.589937905456851,-1.08067536145282,-0.638706304022329,1.71849636352405,1.66825867246816,0.746627115828961,-0.509823414591276,-0.148590876112465,-1.54094195690603,-0.986202514594428,0.521599662525926,-1.76536471563789,-1.01577420065707,-0.587124341602418,-0.933097942612827,-0.0925901760026081,-0.356928822489359,0.802606135582161,1.15312698934007,0.733710397936952,0.533471441593568,-0.711411862437069,-1.80144858172801,-0.554269462468957,0.931735300741189,-2.09236695524536,1.25833438463066,1.5759311792928,0.389405291412366,-0.29554380141765,2.3527950883503,4.06728230898332,1.03968366102528,-0.314033862223409,0.0488815874519315,-0.877199410505636,-0.246389672293569,0.742297908205852,0.191736233216832,-0.989331092741539,1.02597438811493,0.42446725062995,0.849322077565251,2.38958792089446,-1.12021715733761
